step,file,snr_db,stoi,pesq
0,sample_28.wav,-0.6367495092810986,0.5572097880799896,1.0379953384399414
100,sample_41.wav,5.993732733688233,0.7678126296649391,1.334216833114624
200,sample_14.wav,8.139766620663966,0.8405716125609294,1.6925649642944336
300,sample_21.wav,11.982379025960576,0.7400672365019244,1.4955579042434692
400,sample_19.wav,12.462468135935021,0.7900068667409511,1.9222841262817383
500,sample_45.wav,12.55469052900844,0.8325105067199097,1.4893227815628052
600,sample_40.wav,8.316600967921225,0.9120213228731072,1.7123863697052002
700,sample_1.wav,10.292766544250558,0.8552257443661256,1.7997782230377197
800,sample_4.wav,12.231595708226454,0.8622234472891681,1.8448641300201416
900,sample_46.wav,10.715848536626414,0.9141190801838365,1.825899600982666
